gene_id,experiment_id,log2fc,padj
CCNA_00150,quintero_wt-highK_vs_wt-lowK,-0.198905735983429,0.285070756146341
CCNA_00151,quintero_wt-highK_vs_wt-lowK,0.737657873321803,8.5483316380874e-4
CCNA_00152,quintero_wt-highK_vs_wt-lowK,-0.15610718552468,0.370605978210803
CCNA_00153,quintero_wt-highK_vs_wt-lowK,0.2758136701051,0.0897805411109689
CCNA_00154,quintero_wt-highK_vs_wt-lowK,1.02322164227493,1.41478287030835e-5
CCNA_00155,quintero_wt-highK_vs_wt-lowK,0.214566070017572,0.180612307641564
CCNA_00156,quintero_wt-highK_vs_wt-lowK,-0.114064413010134,0.663636541386527
CCNA_00157,quintero_wt-highK_vs_wt-lowK,0.0360380230301857,0.852308828836633
CCNA_R0100,quintero_wt-highK_vs_wt-lowK,-0.540953229751478,0.135460571389115
CCNA_00158,quintero_wt-highK_vs_wt-lowK,0.584736098557279,2.01544870538224e-4
CCNA_00159,quintero_wt-highK_vs_wt-lowK,0.392265132815417,0.017573370707155
CCNA_00160,quintero_wt-highK_vs_wt-lowK,0.178939365380363,0.360192888220102
CCNA_00161,quintero_wt-highK_vs_wt-lowK,-0.0882391106971975,0.624612881948794
CCNA_00162,quintero_wt-highK_vs_wt-lowK,0.150785251481159,0.42406505127634
CCNA_00163,quintero_wt-highK_vs_wt-lowK,0.334891258100324,0.0647623749197738
CCNA_00164,quintero_wt-highK_vs_wt-lowK,0.50709987045407,0.00507758724129927
CCNA_00165,quintero_wt-highK_vs_wt-lowK,-0.388523042202998,0.0293267873545078
CCNA_03915,quintero_wt-highK_vs_wt-lowK,0.354242071744656,0.143308109694488
CCNA_00166,quintero_wt-highK_vs_wt-lowK,-0.438410163008002,0.00632940576280463
CCNA_00167,quintero_wt-highK_vs_wt-lowK,-0.451392787212395,0.0339199558916162
CCNA_00168,quintero_wt-highK_vs_wt-lowK,-0.385297441931065,0.0175541858731107
CCNA_00169,quintero_wt-highK_vs_wt-lowK,0.386619659517816,0.0348821238858955
CCNA_00170,quintero_wt-highK_vs_wt-lowK,0.509600269311277,0.00319176106471427
CCNA_00171,quintero_wt-highK_vs_wt-lowK,-0.355664823335205,0.252158852259004
CCNA_00172,quintero_wt-highK_vs_wt-lowK,-0.119628896611829,0.581419073884092
CCNA_00173,quintero_wt-highK_vs_wt-lowK,-0.167827828637749,0.450665263966084
CCNA_00174,quintero_wt-highK_vs_wt-lowK,0.182446876124789,0.512691853237697
CCNA_00175,quintero_wt-highK_vs_wt-lowK,-0.393950659593932,0.0334507718642428
CCNA_00176,quintero_wt-highK_vs_wt-lowK,-0.0538068484385087,0.87643878473132
CCNA_00177,quintero_wt-highK_vs_wt-lowK,0.0214959183664679,0.974703038395085
CCNA_00178,quintero_wt-highK_vs_wt-lowK,0.439623063121845,0.1651154667626
CCNA_00179,quintero_wt-highK_vs_wt-lowK,0.238263160653931,0.332469752707213
CCNA_00180,quintero_wt-highK_vs_wt-lowK,0.460652746269111,0.0179788267374987
CCNA_00181,quintero_wt-highK_vs_wt-lowK,-0.0686851812596572,0.816980338878571
CCNA_00182,quintero_wt-highK_vs_wt-lowK,0.405706823865129,0.0610774624073834
CCNA_00183,quintero_wt-highK_vs_wt-lowK,0.359443760580218,0.0904969272222477
CCNA_00184,quintero_wt-highK_vs_wt-lowK,1.02696345647945,0.00431488660147092
CCNA_00185,quintero_wt-highK_vs_wt-lowK,0.993477012551793,5.33060783903807e-4
CCNA_R0003,quintero_wt-highK_vs_wt-lowK,1.04793031672702,3.27513655029653e-6
CCNA_00186,quintero_wt-highK_vs_wt-lowK,0.0366549604250863,0.868309558234434
CCNA_00187,quintero_wt-highK_vs_wt-lowK,-0.111313900263543,0.612908871054665
CCNA_00188,quintero_wt-highK_vs_wt-lowK,0.502071859141,0.00136812642684982
CCNA_00189,quintero_wt-highK_vs_wt-lowK,0.470669855404513,0.00304086276165279
CCNA_00190,quintero_wt-highK_vs_wt-lowK,0.619764624483032,0.00205183836265502
CCNA_00191,quintero_wt-highK_vs_wt-lowK,-0.674419928169087,0.00120517795212504
CCNA_00192,quintero_wt-highK_vs_wt-lowK,-0.959774627950678,8.13965749549809e-7
CCNA_00193,quintero_wt-highK_vs_wt-lowK,0.815293412052928,2.08073674854806e-4
CCNA_00194,quintero_wt-highK_vs_wt-lowK,0.820268007840368,6.71891460330648e-6
CCNA_00195,quintero_wt-highK_vs_wt-lowK,0.786499407897172,1.15326409363076e-5
CCNA_00196,quintero_wt-highK_vs_wt-lowK,0.688303558457553,5.67986701180693e-5
CCNA_R0004,quintero_wt-highK_vs_wt-lowK,-0.645174486462841,0.134335488330494
CCNA_00197,quintero_wt-highK_vs_wt-lowK,0.99615538404719,2.46651374150402e-7
CCNA_00198,quintero_wt-highK_vs_wt-lowK,1.00144512884601,9.43595716635559e-8
