gene_id,experiment_id,log2fc,padj
CCNA_00074,quintero_wt-lowK_vs_ΔkdpE-lowK,0.327017209377627,0.219093190184849
CCNA_00075,quintero_wt-lowK_vs_ΔkdpE-lowK,0.0324018687198854,0.978372958428171
CCNA_00076,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.660685727199302,2.57206680324144e-4
CCNA_00077,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.679872581308313,0.00124438896588372
CCNA_00078,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.492279907307297,0.014215231619718
CCNA_00079,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.509845596521125,0.0326580613687742
CCNA_00080,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.0371730625979751,0.969567217199533
CCNA_00081,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.0345123813443322,0.973557788736547
CCNA_00082,quintero_wt-lowK_vs_ΔkdpE-lowK,0.37770448301851,0.193143441795135
CCNA_00083,quintero_wt-lowK_vs_ΔkdpE-lowK,0.175928613182446,0.710736762751461
CCNA_00084,quintero_wt-lowK_vs_ΔkdpE-lowK,0.0428128325868664,0.968427682180628
CCNA_00085,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.0780663121495441,0.927991969097429
CCNA_00086,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.137692903282363,0.768618544764916
CCNA_R0002,quintero_wt-lowK_vs_ΔkdpE-lowK,0.0947021963724943,0.937919850727579
CCNA_00087,quintero_wt-lowK_vs_ΔkdpE-lowK,0.0773523454370668,0.922574044312157
CCNA_00088,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.035948878648648,0.966276259130522
CCNA_00089,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.0744107351042807,0.920280456034305
CCNA_00090,quintero_wt-lowK_vs_ΔkdpE-lowK,0.0270895508840158,0.982930521322842
CCNA_00091,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.122944210123926,0.882332527640147
CCNA_00092,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.130752677001831,0.837236431443825
